Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
05/02/2017,13:00,Sunny,Muntjac,1,Alive,SU 7381 7120,Human Site,Woodland,"Mixed woodland, Near road (50m)",Sophie,
05/09/2017,15:57,Sunny,Grey squirrel,1,Alive,SU 7358 7135 ,Human Site,Suburban,Garden,Steph,
05/09/2017,15:59,Sunny,Grey squirrel,1,Alive,SU 7358 7135 ,Human Site,Suburban,Garden,Steph,
05/09/2017,16:03,Sunny,Grey squirrel,1,Alive,SU 7358 7135 ,Human Site,Suburban,Garden,Steph,
14/05/2017,14:00,Sunny,Red fox,1,Alive,SU 7248 7176,Human Site,Woodland,"Mixed woodland, Near road (50m)",Sophie,
16/05/2017,21:45,Night,Red fox,2,Alive,SU 7248 7176,Human Site,Woodland,"Mixed woodland, Near road (50m)",Sophie,
22/05/2017,10:02,Sunny,Grey squirrel,1,Alive,SU 7404 7213,Human Site,Suburban,Near road (50m),Sophie,
22/05/2017,21:30,Night,Red fox,5,Alive,SU 7250 7170,Human Site,Suburban,"Garden, Near road (50m)",Sophie,
23/05/2017,21:30,Night,Red fox,5,Alive,SU 7250 7170,Human Site,Suburban,"Garden, Near road (50m)",Sophie,
24/05/2017,12:12,Sunny,Grey squirrel,1,Alive,SU 7404 7213,Human Site,Suburban,Near road (50m),Sophie,
25/05/2017,07:17,Sunny,Grey squirrel,4,Alive,SU 7406 7203,Human Site,Suburban,"Garden, Near road (50m)",Sophie,
26/05/2017,06:31,Sunny,Grey squirrel,1,Alive,SU 7404 7213,Human Site,Suburban,Near road (50m),Sophie,
30/05/2017,06:38,Sunny,Grey squirrel,2,Alive,SU 7406 7203,Human Site,Suburban,"Garden, Near road (50m)",Sophie,
