Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
05/01/2017,09:00,Cloudy,Grey Squirrel,1,Alive,SU 98126 50195,Human site,Suburban,"Near road, High disturbance",Yuma and Dixie,
05/03/2017,08:30,Cloudy,Cat,1,Alive,SU 98722 49748,Human site,Suburban,"Near road, residential, gardens",Zoe,
05/04/2017,09:00,Cloudy,Grey Squirrel,1,Alive,SU 98610 50171,Human site,Suburban,"Recreational, high disturbance",Zoe,
05/04/2017,14:00,Cloudy,Cat,1,Alive,SU 98643 49743,Human site,Suburban,"Near road, residential, gardens",Zoe,
05/04/2017,17:15,Cloudy,Grey Squirrel,1,Alive,SU 98783 49973,Human site,Suburban,"recreational, residential",Zoe,
05/05/2017,12:00,Cloudy,Cat,1,Alive,SU 98091 49899,Human site,Suburban,"Near road, residential, gardens",Emily,
05/05/2017,15:45,Cloudy,Cat,1,Alive,SU 97968 49837,Human site,Suburban,"Near road, residential, gardens",Emily,
05/05/2017,17:45,Cloudy,Grey Squirrel,1,Alive,SU 98810 49986,Human site,Suburban,"recreational, residential",Zoe,
05/05/2017,19:25,Cloudy,Grey Squirrel,1,Alive,SU 98293 50211,Human site,Suburban,"Recreational, high disturbance",Yuma  ,
05/06/2017,11:00,Cloudy,Cat,1,Alive,SU 97975 49841,Human site,Suburban,"Near road, residential, gardens",Emily,
05/07/2017,09:00,Cloudy,Brown Rat,1,Alive,SU 98625 49792,Human site,Suburban,"Near road, residential, gardens",Zoe,
05/09/2017,15:00,Sunny,Cat,1,Alive,SU 98633 49759,Human site,Suburban,"Near road, residential, gardens",Zoe,
05/10/2017,08:00,Sunny,Grey Squirrel,1,Alive,SU 98818 49925,Human site,Suburban,"Near road, residential, gardens",Zoe,
05/10/2017,08:05,Sunny,Grey Squirrel,2,Alive,SU 98733 50024,Human site,Suburban,"recreational, residential",Zoe,
05/10/2017,18:00,Sunny,Grey Squirrel,1,Alive,SU 98604 50149,Human site,Suburban,"recreational, residential",Zoe,
05/10/2017,18:05,Sunny,Grey Squirrel,1,Alive,SU 98826 49988,Human site,Suburban,"Recreational, high disturbance",Zoe,
05/10/2017,18:07,Sunny,Cat,1,Alive,SU 98811 49897,Human site,Suburban,"Near road, residential, gardens",Zoe,
05/11/2017,05:00,Clear,Fox,2,Alive,SU 98717 49899,Human site,Suburban,"Recreational, low disturbance",Zoe,
05/11/2017,09:40,Cloudy,Cat,1,Alive,SU 97981 49834,Human site,Suburban,"Near road, residential, gardens",Emily,
05/11/2017,19:00,Raining lightly,Cat,1,Alive,SU 97981 49834,Human site,Suburban,"Near road, residential, gardens",Emily,
05/11/2017,23:15,Raining lightly,Fox,1,Alive,SU 98713 49767,Human site,Suburban,"Near road, residential, gardens",Zoe,
16/05/2017,20:25,Cloudy,Cat,1,Alive,SU 98751 49892,Human site,Suburban,"Near road, residential, gardens",Zoe,
16/05/2017,20:25,Cloudy,Cat,1,Alive,SU 98759 49822,Human site,Suburban,"Near road, residential, gardens",Zoe,
16/05/2017,20:30,Cloudy,Cat,1,Alive,SU 98710 49757,Human site,Suburban,"Near road, residential, gardens",Zoe,
16/05/2017,21:20,Cloudy,Cat,1,Alive,SU 97976 49834,Human site,Suburban,"Near road, residential, gardens",Emily,
17/05/2017,11:30,Raining  ,Grey Squirrel,1,Alive,SU 98142 50205,Human site,Suburban,"Near road, High disturbance",Dixie and Yuma,
18/05/2017,10:45,Sunny,Cat,1,Alive,SU 98728 49896,Human site,Suburban,"Near road, residential, gardens",Zoe,
22/05/2017,17:30,Sunny,Cat,1,Alive,SU 98698 49777,Human site,Suburban,"Near road, residential, gardens",Zoe,
22/05/2017,22:00,Clear,Cat,1,Alive,SU 98814 49903,Human site,Suburban,"Near road, residential, gardens",Zoe,
23/05/2017,07:30,Partly cloudy,Grey Squirrel,1,Alive,SU 98726 50032,Human site,Suburban,"Recreational, high disturbance",Zoe,
23/05/2017,18:00,Sunny,Grey Squirrel,2,Alive,SU 98825 49984,Human site,Suburban,"Gardens, low disturbance",Zoe,
24/05/2017,14:00,Sunny,Grey Squirrel,2,Alive,SU 98825 49984,Human site,Suburban,"Gardens, low disturbance",Zoe and Yuma,
26/05/2017,10:00,Sunny,Grey Squirrel,1,Alive,SU 98697 50128,Human site,Suburban,"Recreational, high disturbance",Zoe,
28/05/2017,05:45,Fog,Grey Squirrel,1,Alive,SU 98605 49757,Human site,Suburban,"Residential, gardens, near road",Zoe,
28/05/2017,05:50,Fog,Grey Squirrel,1,Alive,SU 97807 50314,Human site,Suburban,"Residential, gardens, near road",Zoe,Sitting in the road
29/05/2017,08:30,Cloudy,Grey Squirrel,1,Alive,SU 98804 50006,Human site,Suburban,Recreational,Zoe,
30/05/2017,07:50,Cloudy,Grey Squirrel,1,Alive,SU 98720 50048,Human site,Suburban,"Recreational, low disturbance",Zoe,
30/05/2017,17:00,Sunny,Grey Squirrel,1,Alive,SU 98797 49989,Human site,Suburban,"Recreational, low disturbance",Zoe,
30/05/2017,18:00,Sunny,Cat,1,Alive,SU 97985 49834,Human site,Suburban,"Residential, gardens, near road",Emily,
31/05/2017,08:30,Sunny,Grey Squirrel,2,Alive,SU 98803 50000,Human site,Suburban,"Recreational, low disturbance",Zoe,
