Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
31/05/2017,23:53,,Myotis sp.,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
01/06/2017,23:41,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
01/06/2017,23:42,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
01/06/2017,23:43,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
01/06/2017,23:45,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
02/06/2017,00:16,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
03/06/2017,21:45,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
03/06/2017,22:05,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
03/06/2017,22:38,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
03/06/2017,23:59,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
04/06/2017,20:57,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
04/06/2017,23:16,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
04/06/2017,23:32,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
04/06/2017,23:35,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
04/06/2017,23:54,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,21:30,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,21:39,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,21:40,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,22:17,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,22:53,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,23:19,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,00:21,,Myotis sp.,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,00:21,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
05/06/2017,00:53,,BLE,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
06/06/2017,20:33,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
06/06/2017,21:59,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,20:57,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,21:35,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,22:14,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,22:19,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,00:26,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,00:28,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,00:29,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
07/06/2017,00:59,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
08/06/2017,22:52,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
08/06/2017,00:04,,S.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
08/06/2017,00:24,,C.Pip,1,Alive,SK 7029 5188,Woodland,Mixed,"Moderate shrub layer, moderate field layer, plantation",HL,Passive Anabat detector,
