Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/06/2017,11:00,07/06/2017,13:41,4,SU418149,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/06/2017,11:00,08/06/2017,05:43,4,SU418149,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/06/2017,11:00,10/06/2017,13:15,4,SU418149,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
01/06/2017,11:00,11/06/2017,10:46`,4,SU418149,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,16/06/2017,13:22,4,SU418149,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,20/06/2017,16:46,4,SU418149,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,21/06/2017,05:50,4,SU418149,Red Fox,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,23/06/2017,02:42,4,SU418149,Red Fox,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,23/06/2017,05:59,4,SU418149,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,27/06/2017,11:52,4,SU418149,Grey Squirrel,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
12/06/2017,10:30,30/06/2017,06:08,4,SU418149,Roe Deer,1,Woodland,Mixed,Sparse shrub layer,"OM,CB,JM, FM, GH",,
