"","Category","x"
"1","Badger",866
"2","Bank vole",31
"3","Bat (sp)",10
"4","Brown long-eared bat",2
"5","Brown rat",505
"6","Common pipistrelle bat",4593
"7","Common shrew",13
"8","Cow",30
"9","Daubenton bat",42
"10","Deer (sp)",6
"11","Domestic cat",266
"12","Domestic dog",5
"13","Donkey",3
"14","European hare",33
"15","Field vole",18
"16","Grey squirrel",1408
"17","Harbour seal",6
"18","Hedgehog",58
"19","Horse",12
"20","House mouse",3
"21","Mole",48
"22","Mouse-eared bat (sp)",100
"23","Mouse (sp)",470
"24","Muntjac",18
"25","Myotis daubentonii",178
"26","Nathusius pipistrelle bat",8
"27","Noctule bat",81
"28","Otter",4
"29","Pheasant",4
"30","Pine marten",4
"31","Pipistrelle bat (sp)",181
"32","Polecat",1
"33","Pygmy shrew",8
"34","Rabbit",1747
"35","Red deer",12
"36","Red fox",639
"37","Red squirrel",10
"38","Roe deer",292
"39","Sheep",20
"40","Soprano pipistrelle bat",2037
"41","Squirrel (sp)",350
"42","Stoat",3
"43","Vole (sp)",7
"44","Weasel",2
"45","Wood mouse",306
"46","Yellow-necked mouse",23
