"","team","Species","Count"
"1","att","Badger",51
"2","att","Bank vole",3
"3","att","Common pipistrelle bat",2
"4","att","Field vole",1
"5","att","Grey squirrel",25
"6","att","Harbour seal",5
"7","att","Hedgehog",1
"8","att","Mole",1
"9","att","Otter",3
"10","att","Rabbit",40
"11","att","Red fox",248
"12","att","Red squirrel",8
"13","att","Roe deer",212
"14","att","Soprano pipistrelle bat",189
"15","att","Wood mouse",61
"16","bba","Brown rat",1
"17","bba","Grey squirrel",13
"18","bba","Red fox",3
"19","bba","Squirrel (sp)",3
"20","brb","Badger",304
"21","brb","Bank vole",3
"22","brb","Brown long-eared bat",1
"23","brb","Brown rat",116
"24","brb","Common pipistrelle bat",4132
"25","brb","Common shrew",2
"26","brb","Cow",30
"27","brb","Deer (sp)",1
"28","brb","Domestic cat",17
"29","brb","Donkey",3
"30","brb","European hare",12
"31","brb","Grey squirrel",111
"32","brb","Hedgehog",1
"33","brb","Horse",12
"34","brb","Mole",1
"35","brb","Mouse-eared bat (sp)",100
"36","brb","Nathusius pipistrelle bat",3
"37","brb","Noctule bat",76
"38","brb","Rabbit",124
"39","brb","Red fox",89
"40","brb","Roe deer",18
"41","brb","Soprano pipistrelle bat",1352
"42","brb","Stoat",1
"43","brb","Vole (sp)",1
"44","brb","Wood mouse",19
"45","bri","Bank vole",2
"46","bri","Domestic cat",1
"47","bri","Grey squirrel",4
"48","bri","Red fox",1
"49","bri","Wood mouse",5
"50","bri","Yellow-necked mouse",3
"51","cwi","Grey squirrel",5
"52","fff","Badger",1
"53","fff","Common pipistrelle bat",178
"54","fff","Domestic cat",20
"55","fff","Harbour seal",1
"56","fff","House mouse",1
"57","fff","Myotis daubentonii",178
"58","fff","Rabbit",9
"59","fff","Red fox",5
"60","fff","Red squirrel",1
"61","fff","Roe deer",10
"62","fff","Wood mouse",39
"63","gua","Brown rat",1
"64","gua","Common pipistrelle bat",3
"65","gua","Domestic cat",1
"66","gua","Field vole",6
"67","gua","Grey squirrel",70
"68","gua","Pipistrelle bat (sp)",3
"69","gua","Rabbit",314
"70","gua","Red fox",7
"71","gua","Squirrel (sp)",5
"72","gua","Vole (sp)",3
"73","gua","Wood mouse",1
"74","gun","Badger",9
"75","gun","Mole",2
"76","gun","Pine marten",4
"77","gun","Rabbit",1
"78","gun","Red deer",12
"79","gun","Red fox",6
"80","gun","Red squirrel",1
"81","gun","Roe deer",24
"82","gun","Wood mouse",22
"83","hba","Badger",4
"84","hba","Domestic cat",2
"85","hba","Grey squirrel",39
"86","hba","Rabbit",105
"87","hba","Red fox",27
"88","hba","Wood mouse",2
"89","hhe","Badger",8
"90","hhe","Bat (sp)",4
"91","hhe","Brown rat",3
"92","hhe","Common pipistrelle bat",5
"93","hhe","Daubenton bat",2
"94","hhe","Domestic cat",16
"95","hhe","Grey squirrel",15
"96","hhe","Hedgehog",3
"97","hhe","Mouse (sp)",38
"98","hhe","Rabbit",78
"99","hhe","Red fox",19
"100","hhe","Squirrel (sp)",12
"101","hot","Domestic cat",2
"102","hot","Grey squirrel",1
"103","hot","House mouse",1
"104","hot","Red fox",1
"105","kpl","Bank vole",1
"106","kpl","Brown rat",2
"107","kpl","Field vole",1
"108","kpl","Grey squirrel",98
"109","kpl","Hedgehog",1
"110","kpl","Pipistrelle bat (sp)",15
"111","kpl","Rabbit",75
"112","mam","Grey squirrel",3
"113","mdb","Badger",454
"114","mdb","Bank vole",3
"115","mdb","Bat (sp)",1
"116","mdb","Brown rat",235
"117","mdb","Domestic cat",22
"118","mdb","Field vole",3
"119","mdb","Grey squirrel",26
"120","mdb","Mole",11
"121","mdb","Mouse (sp)",397
"122","mdb","Muntjac",2
"123","mdb","Pipistrelle bat (sp)",8
"124","mdb","Polecat",1
"125","mdb","Rabbit",327
"126","mdb","Red fox",64
"127","mdb","Stoat",2
"128","mdb","Vole (sp)",2
"129","mdb","Weasel",1
"130","mdb","Wood mouse",3
"131","nbm","Badger",1
"132","nbm","Bank vole",13
"133","nbm","Bat (sp)",1
"134","nbm","Brown long-eared bat",1
"135","nbm","Brown rat",1
"136","nbm","Common pipistrelle bat",226
"137","nbm","Common shrew",11
"138","nbm","Daubenton bat",1
"139","nbm","Domestic cat",40
