"","team","total","bats","cameras","field","footprint","line","live","opportunistic","standard","minus.blc"
"1","att",856,191,555,13,0,17,5,36,39,105
"2","bba",20,0,0,0,0,12,0,8,0,20
"3","brb",6529,5664,799,17,0,0,8,41,0,58
"4","bri",16,0,0,0,0,0,10,6,0,6
"5","cwi",5,0,0,0,0,5,0,0,0,5
"6","fff",447,356,45,1,0,0,4,23,18,42
"7","gua",414,3,0,0,0,0,0,346,65,411
"8","gun",81,0,67,12,0,0,0,2,12,14
"9","hba",179,0,174,0,0,3,0,2,0,5
"10","hhe",204,7,164,8,0,1,0,24,0,33
"11","hot",6,0,0,0,0,3,0,1,2,6
"12","kpl",193,0,0,0,0,69,0,124,0,193
"13","mam",3,0,0,0,0,0,0,3,0,3
"14","mdb",1562,0,1460,0,0,13,9,80,0,93
"15","nbm",1857,791,519,8,0,80,122,337,0,425
"16","pft",408,0,199,17,2,0,13,177,0,196
"17","psa",37,0,37,0,0,0,0,0,0,0
"18","rum",281,114,31,11,23,85,1,4,12,135
"19","sdc",53,1,21,11,12,1,0,1,8,31
"20","smw",477,18,317,0,0,79,15,47,1,127
"21","suc",146,0,0,0,0,61,0,58,27,146
"22","tbt",197,0,0,10,0,55,0,132,0,197
"23","tcw",17,0,0,0,0,0,0,17,0,17
"24","tma",22,0,0,0,0,18,0,4,0,22
"25","tmo",51,0,26,4,0,0,6,12,3,19
"26","tns",42,4,16,1,0,6,0,15,0,22
"27","tpa",29,0,21,2,0,0,0,6,0,8
"28","tsu",223,47,0,0,17,27,27,125,7,149
"29","uog",44,0,0,0,14,11,0,10,9,44
"30","wwa",71,0,65,2,0,0,0,4,0,6
