"latin","Species","common"
"Myotis daubentonii","Daubenton","Daubenton bat"
"Myotis daubentonii","Daubentons","Daubenton bat"
"Myotis daubentonii","Myotis daubentoni","Daubenton bat"
"Myotis sp.","Myotis","Mouse-eared bat (sp)"
"Myotis sp.","Myotis sp.","Mouse-eared bat (sp)"
"Myotis daubentonii","Myotis daubentonii","Myotis daubentonii"
"Nyctalus noctula","Common noctule","Noctule bat"
"Nyctalus noctula","Noctule","Noctule bat"
"Pipistrellus nathusii","Nath Pip","Nathusius pipistrelle bat"
"Pipistrellus nathusii","Nath.Pip","Nathusius pipistrelle bat"
"Pipistrellus nathusii","Nathusius' pipistrelle","Nathusius pipistrelle bat"
"Pipistrellus pipistrellus","C. Pipistrelle","Common pipistrelle bat"
"Pipistrellus pipistrellus","C.Pip","Common pipistrelle bat"
"Pipistrellus pipistrellus","Common","Common pipistrelle bat"
"Pipistrellus pipistrellus","Common pip","Common pipistrelle bat"
"Pipistrellus pipistrellus","common pipistrelle","Common pipistrelle bat"
"Pipistrellus pipistrellus","Common pipistrelle","Common pipistrelle bat"
"Pipistrellus pipistrellus","Common Pipistrelle","Common pipistrelle bat"
"Pipistrellus pipistrellus","Pipistrellus pipistrellus","Common pipistrelle bat"
"Pipistrellus pygmaeus","S. Pipistrelle","Soprano pipistrelle bat"
"Pipistrellus pygmaeus","S.Pip","Soprano pipistrelle bat"
"Pipistrellus pygmaeus","Soprano","Soprano pipistrelle bat"
"Pipistrellus pygmaeus","Soprano pip","Soprano pipistrelle bat"
"Pipistrellus pygmaeus","soprano pipistrelle","Soprano pipistrelle bat"
"Pipistrellus pygmaeus","Soprano pipistrelle","Soprano pipistrelle bat"
"Pipistrellus pygmaeus","Soprano Pipistrelle","Soprano pipistrelle bat"
"Pipistrellus sp.","Common/ soprano mix","Pipistrelle bat (sp)"
"Pipistrellus sp.","Pipistrelle (exact species unknown)","Pipistrelle bat (sp)"
"Pipistrellus sp.","Pipistrellus sp.","Pipistrelle bat (sp)"
"Pipistrellus sp.","Common pipistrelle bat","Pipistrelle bat (sp)"
"Pipistrellus sp.","Pipistrelle","Pipistrelle bat (sp)"
"Pipistrellus sp.","Pipistrelles","Pipistrelle bat (sp)"
"Plecotus auritus","BLE","Brown long-eared bat"
"Plecotus auritus","Brown long-eared bat","Brown long-eared bat"
"Unknown","Unknown","Unknown"
"Unknown","Small mammal","Unknown"
"Unknown","Small mammal (mouse?)","Unknown"
"Unknown","Small mammal (species unknown)","Unknown"
"Unknown","?","Unknown"
"Unknown","?TBC","Unknown"
"Unknown","NK (most likely badger)","Unknown"
"Unknown","Rabbit/Fox?","Unknown"
"Apodemus sylvaticus","wood mouse","Wood mouse"
"Apodemus sylvaticus","Wood mouse","Wood mouse"
"Apodemus sylvaticus","Wood Mouse","Wood mouse"
"Apodemus sylvaticus","Woodmouse","Wood mouse"
"Apodemus sylvaticus","Woodmouse (Apodemus sylvaticus)","Wood mouse"
"Apodemus sylvaticus","domestic cat, wood mouse","Wood mouse"
"Apodemus sylvaticus","1 Wood mouse","Wood mouse"
"Apodemus sylvaticus","Field mouse","Wood mouse"
"Apodemus sylvaticus","Field Mouse","Wood mouse"
"Apodemus sylvaticus","woodmouse","Wood mouse"
"Canis lupus familiaris","Dog","Domestic dog"
"Capreolus capreolus","roe deer","Roe deer"
"Capreolus capreolus","Roe deer","Roe deer"
"Capreolus capreolus","Roe Deer","Roe deer"
"Capreolus capreolus","Roe deer (Capreolus capreolus)","Roe deer"
"Cervidae sp.","Deer","Deer (sp)"
"Cervidae sp.","deer sp.","Deer (sp)"
"Cervidae sp.","Deer sp.","Deer (sp)"
"Cervus elaphus","Red Deer","Red deer"
"Equus ferus caballus","Horse","Horse"
"Erinaceus europaeus","hedgehog","Hedgehog"
"Erinaceus europaeus","Hedgehog","Hedgehog"
